date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,Stdev,Min,Q1,Median,Q3,Max
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Overall,31364886.01,6023819.441,20708408.83,26868740.21,30318395.78,34622127.74,59276473.31
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Neonatal Combined,15315928.94,3995319.806,8264588.865,12335053.9,14618433.82,17471091.4,33893626.77
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Juvenile Combined,11019143.21,1871769.252,7693474.291,9621022.715,10696930.42,12035782.67,19635330.87
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Adult Combined,5029813.865,156744.7351,4750345.678,4912663.593,5003031.537,5115253.673,5747515.668
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Female Combined,15524948.6,2898498.119,10398296.35,13361594.89,15021209.95,17091944.93,28958999.01
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Outflow,Male Combined,15839937.42,3125321.363,10310112.48,13507145.32,15297185.83,17530182.82,30317474.3
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Neonatal Female,3125954.037,1792302.982,57164.13941,1795867.067,2793873.762,4063053.585,11828179.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Neonatal Male,3125954.037,1792302.982,57164.13941,1795867.067,2793873.762,4063053.585,11828179.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Juvenile Female,2083943.969,1125484.011,108160.2272,1245006.675,1885293.364,2687731.358,7358755.817
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Juvenile Male,2212841.761,998100.5077,462954.3473,1469024.513,2036210.036,2747577.375,6899540.081
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Adult Female,3171762.354,826436.3345,1703361.901,2554452.607,3029502.615,3620644.865,6975928.384
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Adult Male,1550647.959,658978.2155,380766.196,1058492.29,1437011.872,1908266.899,4587851.211
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Overall,15271104.12,7193259.086,2769570.951,9918710.218,13975765.41,19090327.67,49478433.68
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Neonatal Combined,6251908.073,3584605.963,114328.2788,3591734.134,5587747.524,8126107.169,23656358.18
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Juvenile Combined,4296785.73,2123584.333,571114.5744,2714031.187,3921503.4,5435308.733,14258295.9
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Adult Combined,4722410.313,1485414.494,2084128.097,3612944.897,4466514.487,5528911.765,11563779.6
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Female Combined,8381660.359,3744036.008,1868686.268,5595326.349,7708669.741,10371429.81,26162863.29
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Difference,Male Combined,6889443.756,3449224.439,900884.6826,4323383.87,6267095.669,8718897.86,23315570.38
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Neonatal Female,5196776.037,1792302.982,2127986.139,3866689.067,4864695.762,6133875.585,13899001.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Neonatal Male,5196776.037,1792302.982,2127986.139,3866689.067,4864695.762,6133875.585,13899001.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Juvenile Female,3999914.969,1125484.011,2024131.227,3160977.675,3801264.364,4603702.358,9274726.817
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Juvenile Male,3360227.761,998100.5077,1610340.347,2616410.513,3183596.036,3894963.375,8046926.081
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Adult Female,17221391.35,826436.3345,15752990.9,16604081.61,17079131.61,17670273.87,21025557.38
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Adult Male,4599362.959,658978.2155,3429481.196,4107207.29,4485726.872,4956981.899,7636566.211
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Overall,39574449.12,7193259.086,27072915.95,34222055.22,38279110.41,43393672.67,73781778.68
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Neonatal Combined,10393552.07,3584605.963,4255972.279,7733378.134,9729391.524,12267751.17,27798002.18
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Juvenile Combined,7360142.73,2123584.333,3634471.574,5777388.187,6984860.4,8498665.733,17321652.9
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Adult Combined,21820754.31,1485414.494,19182472.1,20711288.9,21564858.49,22627255.76,28662123.6
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Female Combined,26418082.36,3744036.008,19905108.27,23631748.35,25745091.74,28407851.81,44199285.29
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Population,Male Combined,13156366.76,3449224.439,7167807.683,10590306.87,12534018.67,14985820.86,29582493.38
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Neonatal Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Neonatal Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Juvenile Female,109294.5196,17101.7917,78904.59226,96520.00542,106351.4421,118584.595,188001.1288
