species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
Cattle,SNNP,Periurban dairy,Juvenile,Juvenile,Overall,2021,Production loss,External,21551221.1348277,5504386.13721395,21210062.0164545,21892380.2532008
Cattle,SNNP,Periurban dairy,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,84473956.8387722,16681099.4132341,83440070.5838021,85507843.0937423
Cattle,SNNP,Periurban dairy,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,66997164.3254788,13951238.2756625,66132473.5077035,67861855.143254
Cattle,SNNP,Periurban dairy,Sub-adult,Sub-adult,Overall,2021,Mortality,External,21024143.9721156,4360028.97026372,20753911.5424682,21294376.4017629
Cattle,SNNP,Periurban dairy,Sub-adult,Sub-adult,Overall,2021,Mortality,Infectious,62882444.4560813,5492614.77461411,62542014.9209145,63222873.9912482
Cattle,SNNP,Periurban dairy,Sub-adult,Sub-adult,Overall,2021,Mortality,Non-infectious,37595779.6724218,5156957.33444748,37276154.0186521,37915405.3261915
Cattle,SNNP,Periurban dairy,Sub-adult,Sub-adult,Overall,2021,Production loss,External,52970754.770524,13206129.5193535,52152245.4233174,53789264.1177306
Cattle,SNNP,Periurban dairy,Sub-adult,Sub-adult,Overall,2021,Production loss,Infectious,166864799.192021,26280519.7795493,165235945.631447,168493652.752596
Cattle,SNNP,Periurban dairy,Sub-adult,Sub-adult,Overall,2021,Production loss,Non-infectious,147588288.433633,24553028.1886333,146066503.943698,149110072.923568
Cattle,Sidama,Crop livestock mixed,Adult,Adult,Overall,2021,Mortality,External,157564524.355094,29129291.9468828,155759105.310771,159369943.399416
Cattle,Sidama,Crop livestock mixed,Adult,Adult,Overall,2021,Mortality,Infectious,402853594.562906,36200085.7507219,400609931.231176,405097257.894636
Cattle,Sidama,Crop livestock mixed,Adult,Adult,Overall,2021,Mortality,Non-infectious,299855688.917151,36283077.8141241,297606881.77856,302104496.055743
Cattle,Sidama,Crop livestock mixed,Adult,Adult,Overall,2021,Production loss,External,3200942461.04224,823219459.644994,3149919727.8838,3251965194.20068
Cattle,Sidama,Crop livestock mixed,Adult,Adult,Overall,2021,Production loss,Infectious,10839860581.9464,2019555744.45098,10714689520.1591,10965031643.7337
Cattle,Sidama,Crop livestock mixed,Adult,Adult,Overall,2021,Production loss,Non-infectious,9915703971.00426,1957269092.84433,9794393404.94144,10037014537.0671
Cattle,Sidama,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Mortality,External,90451057.3663292,21472611.5457735,89120195.5696616,91781919.1629968
Cattle,Sidama,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,282250295.393725,24878697.7711234,280708326.06485,283792264.7226
Cattle,Sidama,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,128610574.810899,20964487.1049837,127311206.314651,129909943.307147
Cattle,Sidama,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Production loss,External,416392175.244302,140142155.829342,407706234.044354,425078116.44425
Cattle,Sidama,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,1158251766.45,337485757.276204,1137334566.86667,1179168966.03333
